seq,control,fixture_id,packet_hash,outcome,input_tokens,output_tokens,stop_reason,cache_key
26,identity_alias,mt_010243515,dcc0055bc7a5c3670a4a1abf5241ef88e12ad14ee5da9f0e8962fd0c53098e6c,COMPLETED,20172,2656,tool_use,a0cd3f17fae0550bc01f1c5a67c2631ffa725d6f0ae42f05a3e600b6d4cf00e6
27,identity_alias,mt_010243938,b062d3a679b58221458535ae8804b3479c76fd54d694a8ce015d257f830b6dd8,COMPLETED,20159,2806,tool_use,e31012a48ba1f3fa5e78246ab114072121fd65c9adfe5125dc8c374c7e36df30
28,identity_alias,mt_010441320,dde8f35ff25a149feaad3a7f296f0ca11a8718ed50506133ecc57145e837356a,COMPLETED,20185,2601,tool_use,40d3da4cda4e69e40e355c317c1afc9823e11689ee5addb0d1a6de972321154a
29,identity_alias,mt_010244193,6c26da92bd8159af83d81009c3be452772e0a10d9f65d63fd41d7967460e24ad,COMPLETED,20187,2537,tool_use,5e2c32d4538aaac1ce8a180da8b24b78db7027941d50f5f89a9ab84eae85e4c2
30,identity_alias,mt_010244159,613438ae37e0e7189ecfb9e8ed6cda4818dc4b768253d797ae94d3a2dcf0f02a,COMPLETED,20171,2825,tool_use,4b4e783e8165f844f67872fb50f7eb4bb4af40fd98d76224693a3e2d42056b1b
31,identity_alias,mt_013233190,6b2009a0fab7a824dcf495f1f1fe97d20da9d50256295ebc298eef491b25ce95,COMPLETED,20149,3213,tool_use,624e8d95aa8164643ebcb4ab876c8d6cfb12870b181a12609f43721f1eab6a5e
32,formation_ablation,mt_010441491,c173151c2f356300ba5c04030f6a611b921ec8ef878e42df04d8f14ba72f6236,COMPLETED,19884,2526,tool_use,47575e24b7a73fe61979ea15653a2dfd1a6d4f16f53473030e29c49c9b0fdb50
33,formation_ablation,mt_012232295,d2bd2859b1181b04b697ea009a244a8a8f40da0818629f2df55ae4c38d505ecf,COMPLETED,19934,2564,tool_use,b598671433101a754c67e5151f88db46637ceee1cec2ebbb4f8a00796a33000b
34,formation_ablation,mt_010243515,af60328eaec0b438ac0bd65527ee9dc099bb4f0c68dd8f4c0ac67314c56f4e4a,COMPLETED,19895,2782,tool_use,c549fcc0ed60e395e3a6b22bc44098e4cc3947afd23f19553af6458e6c10530b
35,formation_ablation,mt_010243938,1149d7c45902fc9aac39baa8c743aa4d783de7234b742eb2cb55b7f5c084dd0c,COMPLETED,19886,2758,tool_use,d345cde07d141f104735dd9f186f195d972ac94b060e99534bc059c708e1ada6
36,formation_ablation,mt_010441320,6a64443f7c11ecf0c670d5e71f126a2eb3310dcf330f1117cedd0c0a88febb00,COMPLETED,19889,2745,tool_use,299d9bed8e5455d3f4c91845ce25a6b39ec539fddc52132af976f2ceb77c7743
37,formation_ablation,mt_010244193,93ad6f6623edb8640d090a7d4a086ec44f195b2dbfe8bb76e25cb80344c6a018,COMPLETED,19888,2919,tool_use,dec51b81a92af1b62bf476e5d80aac55fcdf71ee4fdb1ce279b063b1234e1163
38,profile_perturbation,mt_010441491,c469c748fb5485ce4551fefa85ef80919c1eb56aeac862965bdbe15213efa007,COMPLETED,20156,2725,tool_use,c2d383e2ebaf004c2878156998be7d31a2dce53310533baddbc5f0f6af87f206
