fixture_id,orig_home_formation,orig_away_formation,shuffled_home_formation,shuffled_away_formation,full_status,shuffle_status,state_change_fraction,stereotype_flag
mt_406686899,3-5-2,4-2-3-1,4-2-3-1,3-5-2,OK,LLM_STATE_REJECTED,0.0,False
mt_839956993,3-4-3,4-3-3,4-3-3,3-4-3,OK,OK,0.2069,False
mt_974237747,3-5-2,4-3-3,4-3-3,3-5-2,OK,OK,0.1818,False
mt_257690291,4-3-3,4-2-3-1,4-2-3-1,4-3-3,OK,OK,0.2121,False
mt_361807430,4-1-4-1,4-2-3-1,4-2-3-1,4-1-4-1,OK,OK,1.0,True
mt_196035863,3-4-2-1,4-2-3-1,4-2-3-1,3-4-2-1,OK,OK,0.0303,False
mt_257018290,3-4-3,4-3-3,4-3-3,3-4-3,OK,OK,0.1212,False
mt_745924405,4-4-1-1,4-2-3-1,4-2-3-1,4-4-1-1,OK,OK,0.9394,True
