study,fixture_id,competition,packet_hash,call_index,status,generation_id,schema_version,prompt_version,packet_schema_version,resolved_model_id,input_tokens,output_tokens,latency_s,cost_usd,cache_hit,reject_field,reject_reason,created_unix
repeatability,mt_408750625,laliga2,c9e488ed24d8ddeb36a9c9fdd28262a0a8e0525484031309f97c3df8ba0dbc69,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31372,5622,52.679,0.178446,False,,,1789271112
repeatability,mt_408750625,laliga2,c9e488ed24d8ddeb36a9c9fdd28262a0a8e0525484031309f97c3df8ba0dbc69,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31372,6132,56.62,0.186096,False,,,1789271112
repeatability,mt_584193286,ligue1,6e9e81fe049f8ec5f17941006978349a47b1035f79f15f125533a4309ddd63b3,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31321,5391,49.564,0.174828,False,,,1789271258
repeatability,mt_584193286,ligue1,6e9e81fe049f8ec5f17941006978349a47b1035f79f15f125533a4309ddd63b3,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31321,5019,47.164,0.169248,False,,,1789271258
repeatability,mt_584193286,ligue1,6e9e81fe049f8ec5f17941006978349a47b1035f79f15f125533a4309ddd63b3,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31321,5391,48.926,0.174828,False,,,1789271258
repeatability,mt_257018883,ligue2,15f7e13ad4bf75c4c975b2e03bc06c8022ff834e1c9f9bb4eaadd66322952798,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30944,6361,242.189,0.188247,False,,,1789271677
repeatability,mt_257018883,ligue2,15f7e13ad4bf75c4c975b2e03bc06c8022ff834e1c9f9bb4eaadd66322952798,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30944,6378,58.079,0.188502,False,,,1789271677
repeatability,mt_257018883,ligue2,15f7e13ad4bf75c4c975b2e03bc06c8022ff834e1c9f9bb4eaadd66322952798,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30944,6361,119.269,0.188247,False,,,1789271677
repeatability,mt_012238074,champ,00a9d2c83cec29cdc3d7a5bdafefaed9147c0dd0605fd72f2d8f144909ce4ee7,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29573,6446,58.74,0.185409,False,,,1789271852
repeatability,mt_012238074,champ,00a9d2c83cec29cdc3d7a5bdafefaed9147c0dd0605fd72f2d8f144909ce4ee7,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29573,6361,57.294,0.184134,False,,,1789271852
